x,y,country_trans,bgs_sub_commodity_trans,sdmx_code,yearbook_table_trans,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,quantity,concat_table_notes_text,year,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1971-01-01 00:00:00,882,5,*,Production,germanium metal,,Estimates.
-119.677633,59.205383999999995,Canada,,A,Production of germanium metal,CA,Germanium,Normal value,CAN,Germanium metal,tonnes (metric),-119.677633,,,162,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1971-01-01 00:00:00,882,5,,Production,germanium metal,,
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,53,,1971-01-01 00:00:00,882,53,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1971-01-01 00:00:00,882,12,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,19,,1971-01-01 00:00:00,882,19,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,15,,1972-01-01 00:00:00,882,15,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1972-01-01 00:00:00,882,7,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1972-01-01 00:00:00,882,22,,Production,germanium metal,,
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,23,,1972-01-01 00:00:00,882,23,,Production,germanium metal,,
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1972-01-01 00:00:00,882,5,*,Production,germanium metal,,Estimates.
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1973-01-01 00:00:00,882,9,*,Production,germanium metal,,Estimates.
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,25,,1973-01-01 00:00:00,882,25,,Production,germanium metal,,
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,28,,1973-01-01 00:00:00,882,28,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,17,,1973-01-01 00:00:00,882,17,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1973-01-01 00:00:00,882,9,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1974-01-01 00:00:00,882,9,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,17,,1974-01-01 00:00:00,882,17,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,16,,1974-01-01 00:00:00,882,16,*,Production,germanium metal,,Estimates.
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1974-01-01 00:00:00,882,9,*,Production,germanium metal,,Estimates.
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,62,,1974-01-01 00:00:00,882,62,,Production,germanium metal,,
16.971256999999998,-20.703654,Namibia,,A,Production of germanium metal,NA,Germanium,Normal value,NAM,Germanium metal,tonnes (metric),16.971257,,,162,-20.703654,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1975-01-01 00:00:00,882,9,*,Production,germanium metal,,Estimates.
23.625456999999997,-2.883451,Zaire,,A,Production of germanium metal,ZR,Germanium,Normal value,ZAR,Germanium metal,tonnes (metric),23.625457,,,162,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1975-01-01 00:00:00,882,12,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1975-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,15,,1975-01-01 00:00:00,882,15,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,10,,1975-01-01 00:00:00,882,10,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1976-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,16,,1976-01-01 00:00:00,882,16,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,16,,1976-01-01 00:00:00,882,16,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1976-01-01 00:00:00,882,5,,Production,germanium metal,,
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,4,,1977-01-01 00:00:00,882,4,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1977-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,13,,1977-01-01 00:00:00,882,13,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,16,,1977-01-01 00:00:00,882,16,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1978-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1978-01-01 00:00:00,882,11,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,19,,1978-01-01 00:00:00,882,19,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,4,,1978-01-01 00:00:00,882,4,,Production,germanium metal,,
2.452177,46.620563,France,,A,Production of germanium metal,FR,Germanium,Normal Value,FRA,Germanium metal,tonnes (metric),2.452177,,,162,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,0,,1979-01-01 00:00:00,882,-----,,Production,germanium metal,Nil (nothing produced),
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1979-01-01 00:00:00,882,5,,Production,germanium metal,,
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,10,,1979-01-01 00:00:00,882,10,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1979-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,23,,1979-01-01 00:00:00,882,23,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,14,,1980-01-01 00:00:00,882,14,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,27,,1980-01-01 00:00:00,882,27,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,13,,1980-01-01 00:00:00,882,13,,Production,germanium metal,,
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1980-01-01 00:00:00,882,5,,Production,germanium metal,,
2.452177,46.620563,France,,A,Production of germanium metal,FR,Germanium,Normal value,FRA,Germanium metal,tonnes (metric),2.452177,,,162,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,10,,1980-01-01 00:00:00,882,10,,Production,germanium metal,,
2.452177,46.620563,France,,A,Production of germanium metal,FR,Germanium,Normal value,FRA,Germanium metal,tonnes (metric),2.452177,,,162,46.620563,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,13,,1981-01-01 00:00:00,882,13,,Production,germanium metal,,
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,4,,1981-01-01 00:00:00,882,4,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,28,,1981-01-01 00:00:00,882,28,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,15,,1981-01-01 00:00:00,882,15,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1981-01-01 00:00:00,882,11,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1982-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1982-01-01 00:00:00,882,7,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,26,,1982-01-01 00:00:00,882,26,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,4,,1982-01-01 00:00:00,882,4,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1982-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1983-01-01 00:00:00,882,6,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1983-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1983-01-01 00:00:00,882,7,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,20,,1983-01-01 00:00:00,882,20,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1983-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1984-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,20,,1984-01-01 00:00:00,882,20,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,8,,1984-01-01 00:00:00,882,8,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1984-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1984-01-01 00:00:00,882,5,,Production,germanium metal,,
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1985-01-01 00:00:00,882,5,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1985-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1985-01-01 00:00:00,882,22,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,10,,1985-01-01 00:00:00,882,10,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1985-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1986-01-01 00:00:00,882,9,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1986-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1986-01-01 00:00:00,882,22,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1986-01-01 00:00:00,882,6,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1986-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1987-01-01 00:00:00,882,7,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1987-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1987-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,25,,1987-01-01 00:00:00,882,25,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1987-01-01 00:00:00,882,5,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,21,,1988-01-01 00:00:00,882,21,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1988-01-01 00:00:00,882,12,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,4,,1988-01-01 00:00:00,882,4,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1988-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1988-01-01 00:00:00,882,6,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1989-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1989-01-01 00:00:00,882,6,,Production,germanium metal,,
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,3,,1989-01-01 00:00:00,882,3,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,20,,1989-01-01 00:00:00,882,20,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1989-01-01 00:00:00,882,12,*,Production,germanium metal,,Estimates.
